,대분류,중분류,소분류,과정명,학습시간,수료여부,frame,prognostics
75,정규강좌,정보화/IT,메타버스,[카드뉴스] 메타버스 비즈니스 인사이트,3,75,75,False
76,정규강좌,정보화/IT,SNS활용,[마케팅 인사이트]고객경험을 연출하다,3,76,76,False
77,정규강좌,정보화/IT,디지털 트랜스포메이션,온디맨드가 만드는 새로운 세상,3,77,77,False
78,정규강좌,정보화/IT,디지털 트랜스포메이션,"직장인의 빠른 퇴근을 위한 솔루션, RPA",3,78,78,False
79,정규강좌,정보화/IT,리모트 리더십,"초고성장기업의 앞서가는 혁신전략, 조직문화 익스프레스",3,79,79,False
80,정규강좌,정보화/IT,인공지능,"패러다임을 뒤바꿀 AI의 시작, ChatGPT",3,80,80,False
81,정규강좌,정보화/IT,인공지능,New Creative에 도전하는 인공지능 콘텐츠,3,81,81,False
82,정규강좌,취업,직무적성검사,취업의 기술,3,82,82,False
83,정규강좌,취업,직무적성검사,"리더들의 감정주치의, 이동환의 감정수업",3,83,83,False
84,정규강좌,취업,직무적성검사,[정체성 리부팅] 나를 발견하는 심리학,3,84,84,False
85,정규강좌,취업,직무적성검사,[북콘서트] 인생을 바꾸는 커리어 멘토링,3,85,85,False
86,정규강좌,취업,직업기초능력,세종에게 창조습관을 묻다,3,86,86,False
87,정규강좌,생활/인문교양,취미,"일상이 특별해지는 시간, 데이지 미니백 만들기 (뜨개 키트 제공 없음)",3,87,87,False
88,정규강좌,생활/인문교양,건강,두잉 요가 : In the Office,3,88,88,False
89,정규강좌,생활/인문교양,건강,"먹고, 자고, 숨쉬어라",3,89,89,False
90,정규강좌,생활/인문교양,취미,"셀프출판 공작소, 나만의 책 만들기",3,90,90,False
91,정규강좌,생활/인문교양,인문,아는 만큼 보이는 우주 이야기,3,91,91,False
92,정규강좌,생활/인문교양,건강,두잉 요가 : On the Mat [초급편],3,92,92,False
93,정규강좌,생활/인문교양,취미,밀레니얼의 여행은 어떻게 달라질 것인가,3,93,93,False
94,정규강좌,생활/인문교양,취미,"요즘의 책읽기 - 함께, 깊게 읽는 독서 모임 만드는 법",3,94,94,False
95,정규강좌,생활/인문교양,건강,두잉 요가 : On the Mat [중급편],3,95,95,False
96,정규강좌,시민교육,ESG,ESG X Tech : DX시대의 ESG 경영 전략,3,96,96,False
97,정규강좌,시민교육,저작권,시니어 창업자를 위한 저작권 노하우,3,97,97,False
98,정규강좌,시민교육,저작권,표절예방과 저작권 기초 강좌,3,98,98,False
99,정규강좌,시민교육,저작권,[중등학부모] 저작권! 이제 기본입니다,3,99,99,False
100,정규강좌,시민교육,저작권,[초등고학년/중등] 저작권과 친구 될래요,3,100,100,False
101,정규강좌,시민교육,저작권,[초등저학년] 저작권과 친구 될래요,3,101,101,False
102,정규강좌,시민교육,저작권,[초등학부모] 저작권! 이제 기본입니다,3,102,102,False
103,정규강좌,시민교육,저작권,공공기관 소프트웨어 저작권&자산관리 이해,3,103,103,False
104,정규강좌,시민교육,저작권,청소년 예비 창업자를 위한 저작권 노하우,3,104,104,False
105,정규강좌,시민교육,저작권,어린이집 보육교사 과정,3,105,105,False
106,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.1 [초급],3,106,106,False
107,정규강좌,외국어,영어,스낵영어네이티브: The Travel 3.1 [초중급],3,107,107,False
108,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.2 [초급],3,108,108,False
109,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.5 [초중급],3,109,109,False
110,정규강좌,외국어,영어,스낵영어네이티브: The Travel 3.2 [초중급],3,110,110,False
111,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.3 [초급],3,111,111,False
112,정규강좌,외국어,영어,스낵영어네이티브: The Life 2.4 [초급],3,112,112,False
113,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.3 [초중급],3,113,113,False
114,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.1 [초중급],3,114,114,False
115,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.2 [초중급],3,115,115,False
116,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.4 [초중급],3,116,116,False
117,정규강좌,외국어,영어,스낵영어네이티브: The Life 3.6 [초중급],3,117,117,False
118,정규강좌,다문화,-,Magic Hangul Basic,3,118,118,False
119,테마강좌,주민자치강좌,-,합리적 의사결정을 돕는 퍼실리테이션,3,119,119,False
120,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-1차] 민법 및 민사특별법-족집게특강,4,120,120,False
121,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 중개사법령 및 중개실무-족집게특강,4,121,121,False
122,정규강좌,자격증,공인중개사,[2023 휴넷 공인중개사-1차] 민법 및 민사특별법-족집게특강,4,122,122,False
123,정규강좌,자격증,공인중개사,[2022 휴넷공인중개사-2차] 부동산공시법-실력향상 문제풀이,4,123,123,False
124,정규강좌,정보화/IT,인공지능,[IT어빌리티] 인공지능과 인간의 대화,4,124,124,False
125,정규강좌,정보화/IT,메타버스,[디지털융합] 가상세계로 떠나는 메타버스 튜토리얼,4,125,125,True
126,정규강좌,정보화/IT,디지털 트랜스포메이션,"[디지털융합] 새로운 디지털 혁명, 블록체인",4,126,126,True
127,정규강좌,정보화/IT,빅데이터,"빅데이터, 사람을 읽다",4,127,127,False
128,정규강좌,정보화/IT,SNS활용,GA(구글 애널리틱스)로 보는 마케팅 성과분석,4,128,128,False
129,정규강좌,정보화/IT,디지털 트랜스포메이션,"[디지털융합] 제조혁신의 미래, 스마트팩토리",4,129,129,True
130,정규강좌,정보화/IT,빅데이터,"데이터로 고객을 읽는 마케팅 기법, 그로스해킹",4,130,130,False
131,정규강좌,정보화/IT,디지털 트랜스포메이션,[Tech briefing] 빅테크의 모든 것,4,131,131,False
132,정규강좌,취업,인생이모작,핵심만 콕! 재취업 준비와 성공전략,4,132,iframe,False
